"Company","URL","Valuation ($B)","Date Joined","Country","City","Industry","Selected Investors"
"Newsela","https://www.cbinsights.com/company/newsela","$1","2/25/2021","United States","New York","Consumer & Retail","Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
"Aqua Security","https://www.cbinsights.com/company/scalock","$1","3/10/2021","Israel","Ramat Gan","Enterprise Tech","TLV Partners, Lightspeed Venture Partners, M12"
"PatSnap","https://www.cbinsights.com/company/patsnap","$1","3/16/2021","Singapore","","Enterprise Tech","Sequoia Capital China, Shunwei Capital Partners, Qualgro"
"Evidation","https://www.cbinsights.com/company/evidation-health","$1","3/22/2021","United States","San Mateo","Healthcare & Life Sciences","B Capital Group,, GE Ventures, McKesson Ventures"
"Sidecar Health","https://www.cbinsights.com/company/sidecar-health","$1","1/26/2021","United States","El Segundo","Healthcare & Life Sciences","GreatPoint Ventures, Tiger Global Management, Menlo Ventures"
"Feedzai","https://www.cbinsights.com/company/feedzai","$1","3/24/2021","United States","San Mateo","Financial Services","Global Founders Capital, Shea Ventures, Greycroft"
"Yunxuetang","https://www.cbinsights.com/company/yunxuetang","$1","3/29/2021","China","Suzhou","Enterprise Tech","Matrix Partners China, Sequoia Capital China, Hundreds Capital"
"Cameo","https://www.cbinsights.com/company/cameo","$1","3/30/2021","United States","Chicago","Media & Entertainment","Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures"
"Hyperchain","https://www.cbinsights.com/company/hyperchian","$1","4/11/2021","China","Hangzhou","Enterprise Tech","Yinhong Equity Investment Fund, E Fund, Ideal International"
"The Zebra","https://www.cbinsights.com/company/insurance-zebra","$1","4/12/2021","United States","Austin","Insurance","Silverton Partners, Accel, Ballast Point Ventures"
"Groq","https://www.cbinsights.com/company/groq","$1","4/14/2021","United States","Mountain View","Enterprise Tech","TDK Ventures, Social Capital, D1 Capital Partners"
"Fiture","https://www.cbinsights.com/company/fiture","$1","4/14/2021","China","Chengdu","Healthcare & Life Sciences","Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital"
"Injective","https://www.cbinsights.com/company/injective-protocol","$1","4/20/2021","United States","New York","Financial Services","Pantera Capital, Cadenza Ventures, BlockTower Capital"
"Sift","https://www.cbinsights.com/company/sift-science","$1","4/22/2021","United States","San Francisco","Enterprise Tech","Union Square Ventures, Insight Partners, Spark Capital"
"Teya","https://www.cbinsights.com/company/saltpay","$1","4/9/2021","United Kingdom","London","Financial Services","Tiger Global Management, Hedosophia"
"Capsule","https://www.cbinsights.com/company/capsule1","$1","4/28/2021","United States","New York","Healthcare & Life Sciences","Thrive Capital, Durable Capital Partners, G Squared"
"MOLOCO","https://www.cbinsights.com/company/moloco","$1.50","4/29/2021","United States","Redwood City","Enterprise Tech","Smilegate Investment, DSC Investments, KTB Ventures"
"Inari","https://www.cbinsights.com/company/inari-ag","$1.65","5/12/2021","United States","Cambridge","Industrials","Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai"
"Mux","https://www.cbinsights.com/company/mux","$1","4/30/2021","United States","San Francisco","Media & Entertainment","Accel, Cobalt Capital, Andreessen Horowitz"
"XForcePlus","https://www.cbinsights.com/company/yunli-information","$1","6/1/2021","China","Shanghai","Enterprise Tech","Eastern Bell Capital, Danhua Capital, MSA Capital"
"Augustinus Bader","https://www.cbinsights.com/company/augustinus-bader","$1","11/9/2022","United Kingdom","London","Consumer & Retail","General Atlantic"
"Shift","https://www.cbinsights.com/company/shift-technology","$1","5/6/2021","France","Paris","Insurance","Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures"
"TensTorrent","https://www.cbinsights.com/company/tenstorrent","$1","5/5/2021","Canada","Toronto","Enterprise Tech","Eclipse Ventures, Fidelity Investments, Moore Capital Management"
"Zihaiguo","https://www.cbinsights.com/company/zihaiguo","$1","5/6/2021","China","Chongqing","Consumer & Retail","Xingwang Investment Management, China Capital Investment Group, Matrix Partners China"
"Forte Labs","https://www.cbinsights.com/company/forte-labs","$1.73","5/12/2021","United States","San Francisco","Media & Entertainment","Iris Capital, Accel, Elaia Partners"
"Axtria","https://www.cbinsights.com/company/axtria","$1","5/13/2021","United States","Berkeley Heights","Enterprise Tech","Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
"Amount","https://www.cbinsights.com/company/amount","$1","5/17/2021","United States","Chicago","Financial Services","Invus Group, Hanaco Venture Capital, WestCap Group"
"Vise","https://www.cbinsights.com/company/vise-ai","$1","5/18/2021","United States","New York","Financial Services","Sequoia Capital, Founders Fund, Bling Capital"
"Printful","https://www.cbinsights.com/company/printful","$1","5/24/2021","United States","Charlotte","Consumer & Retail","Bregal Sagemount"
"Matrixport","https://www.cbinsights.com/company/matrixport","$1.05","6/1/2021","Singapore","","Financial Services","Dragonfly Captial, Qiming Venture Partners, DST Global"
"Shippo","https://www.cbinsights.com/company/shippo","$1","6/2/2021","United States","San Francisco","Industrials","Version One Ventures, Uncork Capital, Bessemer Venture Partners"
"Thirty Madison","https://www.cbinsights.com/company/keeps","$1","6/2/2021","United States","New York","Healthcare & Life Sciences","Northzone Ventures, Maveron, Johnson & Johnson Innovation"
"LetsGetChecked","https://www.cbinsights.com/company/letsgetchecked","$1","6/7/2021","Ireland","Dublin","Healthcare & Life Sciences","Optum Ventures, Qiming Venture Partners, Transformation Capital"
"EcoFlow","https://www.cbinsights.com/company/ecoflow","$1","6/10/2021","China","Shenzhen","Industrials","Delian Capital, China International Capital Corporation, Sequoia Capital China"
"Carro","https://www.cbinsights.com/company/carro","$1","6/14/2021","Singapore","","Industrials","SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
"Tractable","https://www.cbinsights.com/company/tractable","$1","6/16/2021","United Kingdom","London","Insurance","Insight Partners, Ignition Partners, Georgian Partners"
"Xiaoe Tech","https://www.cbinsights.com/company/xiaoe-tech","$1","6/15/2021","China","Shenzhen","Enterprise Tech","GGV Capital, Hillhouse Capital Management, IDG Capital"
"Bringg","https://www.cbinsights.com/company/bringg","$1","6/16/2021","Israel","Tel Aviv","Enterprise Tech","Salesforce Ventures, next47, Pereg Ventures"
"Simply","https://www.cbinsights.com/company/joytunes","$1","6/21/2021","Israel","Tel Aviv","Media & Entertainment","Genesis Partners, Aleph, Insight Partners"
"Worldcoin","https://www.cbinsights.com/company/worldcoin","$1","6/29/2021","United States","San Francisco","Financial Services","Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
"SmartAsset","https://www.cbinsights.com/company/smartasset","$1","6/24/2021","United States","New York","Financial Services","Javelin Venture Partners, TTV Capital, Peterson Ventures"
"Morning Consult","https://www.cbinsights.com/company/morning-consult","$1","6/8/2021","United States","Washington DC","Enterprise Tech","Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
"Visier","https://www.cbinsights.com/company/visier","$1","6/29/2021","Canada","Vancouver","Enterprise Tech","Foundation Capital, Summit Partners, Adams Street Partners"
"ShipBob","https://www.cbinsights.com/company/shipbob","$1","6/29/2021","United States","Chicago","Consumer & Retail","Hyde Park Venture Partners, FundersClub. Bain Capital Ventures"
"MobileCoin","https://www.cbinsights.com/company/mobilecoin","$1.06","7/7/2021","United States","San Francisco","Financial Services","General Catalyst, Future Ventures, AU21"
"Amperity","https://www.cbinsights.com/company/amperity","$1","7/13/2021","United States","Seattle","Enterprise Tech","Madrona Venture Group, Tiger Global Management, Madera Technology Partners"
"Pantheon Systems","https://www.cbinsights.com/company/pantheon","$1","7/13/2021","United States","San Francisco","Enterprise Tech","Foundry Group, Scale Venture Partners, SoftBank Group"
"Xiaoice","https://www.cbinsights.com/company/xiaobing","$1","7/12/2021","China","Beijing","Media & Entertainment","NetEase Capital, Northern Light Venture Capital, Microsoft"
"Caidya","https://www.cbinsights.com/company/dmed","$1","7/12/2021","China","Shanghai","Healthcare & Life Sciences","Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
"Carson Group","https://www.cbinsights.com/company/carson-group","$1","7/14/2021","United States","Lincoln","Financial Services","Bain Capital"
"NIUM","https://www.cbinsights.com/company/instarem","$2","7/13/2021","Singapore","","Financial Services","Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
"Human Interest","https://www.cbinsights.com/company/captain401","$1","8/4/2021","United States","San Francisco","Financial Services","Wing Venture Capital, Slow Ventures, Uncork Capital"
"Bluecore","https://www.cbinsights.com/company/triggermail","$1","8/5/2021","United States","New York","Consumer & Retail","FirstMark Capital, Georgian Partners, Norwest Venture Partners"
"Freshbooks","https://www.cbinsights.com/company/freshbooks","$1","8/10/2021","Canada","Toronto","Enterprise Tech","Accomplice, Oak Investment Partners, Georgian Partners"
"Snorkel AI","https://www.cbinsights.com/company/snorkelai","$1","8/9/2021","United States","Palo Alto","Enterprise Tech","Greylock Partners, Google Ventures, BlackRock"
"Gelato","https://www.cbinsights.com/company/gelato-group","$1","8/16/2021","Norway","Oslo","Consumer & Retail","Greylock Partners, Google Ventures, BlackRock"
"Maven","https://www.cbinsights.com/company/maven-clinic","$1","8/17/2021","United States","New York","Healthcare & Life Sciences","Female Founders Fund, Oak HC/FT Partners, Sequoia Capital"
"PicsArt","https://www.cbinsights.com/company/picsart","$1","8/26/2021","United States","San Francisco","Media & Entertainment","Sequoia Capital, DCM Ventures, Insight Partners"
"1KMXC","https://www.cbinsights.com/company/yigongli","$1","8/30/2021","China","Hangzhou","Industrials","Goldman Sachs Asset Management, SDP Investment, Alibaba Group"
"Cider","https://www.cbinsights.com/company/cider","$1","9/2/2021","Hong Kong","","Consumer & Retail","Andreessen Horowitz, DST Global, IDG Capital"
"Berlin Brands Group","https://www.cbinsights.com/company/chal-tec","$1","9/1/2021","Germany","Berlin","Consumer & Retail","Ardian, Bain Capital"
"Agile Robots","https://www.cbinsights.com/company/agile-robots","$1","9/9/2021","Germany","Munich","Industrials","Hillhouse Capital Management, Sequoia Capital China, Linear Venture"
"Mammoth Biosciences","https://www.cbinsights.com/company/mammoth-diagnostics","$1","9/9/2021","United States","Brisbane","Healthcare & Life Sciences","NFX, Plum Alley, Mayfield"
"Orchard","https://www.cbinsights.com/company/perch","$1","9/9/2021","United States","New York","Financial Services","Accomplice, Juxtapose, FirstMark Capital"
"Xendit","https://www.cbinsights.com/company/xendit","$1","9/14/2021","Indonesia","Jakarta","Financial Services","Accel, Y Combinator, Amasia"
"TrueLayer","https://www.cbinsights.com/company/truelayer","$1","9/21/2021","United Kingdom","London","Financial Services","Anthemis, Connect Ventures, Northzone Ventures"
"Assembly","https://www.cbinsights.com/company/assembly","$1","9/21/2021","United States","Culver City","Consumer & Retail","Advent International, PSG, Providence Equity Partners"
"PandaDoc","https://www.cbinsights.com/company/quote-roller","$1","9/22/2021","United States","San Francisco","Enterprise Tech","Rembrandt Venture Partners, M12, Altos Ventures"
"Keenon Robotics","https://www.cbinsights.com/company/keenon-robotics","$1","9/15/2021","China","Shanghai","Industrials","Yunqi Partners, SoftBank Group, iVision Ventures"
"HAYDON","https://www.cbinsights.com/company/haydon","$1","9/24/2021","China","Shanghai","Consumer & Retail","Tencent Holdings, Hillhouse Capital Management"
"Ninja Van","https://www.cbinsights.com/company/ninja-logistics","$1","9/27/2021","Singapore","","Consumer & Retail","B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
"Vedantu","https://www.cbinsights.com/company/vedantu","$1","9/29/2021","India","Bengaluru","Consumer & Retail","Accel, Tiger Global Management, Omidyar Network"
"Formation Bio","https://www.cbinsights.com/company/trialspark","$1","9/30/2021","United States","New York","Healthcare & Life Sciences","Sequoia Capital, Thrive Capital, Sound Ventures"
"Ajaib","https://www.cbinsights.com/company/ajaib","$1","10/4/2021","Indonesia","Jakarta","Financial Services","Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners"
"Licious","https://www.cbinsights.com/company/licious","$1","10/5/2021","India","Bengaluru","Consumer & Retail","3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia"
"Masterworks","https://www.cbinsights.com/company/masterworks","$1","10/5/2021","United States","New York","Financial Services","Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
"Chronosphere","https://www.cbinsights.com/company/chronosphere","$1","10/7/2021","United States","New York","Enterprise Tech","Greylock Partners, Lux Capital, General Atlantic"
"Solo.io","https://www.cbinsights.com/company/soloio","$1","10/7/2021","United States","Cambridge","Enterprise Tech","True Ventures, Altimeter Capital, Redpoint Ventures"
"Savage X Fenty","https://www.cbinsights.com/company/savage-x-fenty","$1","2/10/2021","United States","El Segundo","Consumer & Retail","Speedinvest, Valar Ventures, Uniqa Ventures"
"Swile","https://www.cbinsights.com/company/lunchr","$1","10/11/2021","France","Montpellier","Enterprise Tech","Index Ventures, IDInvest Partners, Daphni"
"MobiKwik","https://www.cbinsights.com/company/mobikwik","$1","10/13/2021","India","Gurugram","Financial Services","Sequoia Capital India, The Times Group, GMO VenturePartners"
"Weights & Biases","https://www.cbinsights.com/company/weights-and-biases","$1.25","10/13/2021","United States","San Francisco","Enterprise Tech","Coatue Management, Insight Partners, Trinity Ventures"
"Zopa","https://www.cbinsights.com/company/zopa","$1","10/19/2021","United Kingdom","London","Financial Services","IAG Capital Partners, Augmentum Fintech, Northzone Ventures"
"Dental Monitoring","https://www.cbinsights.com/company/dental-monitoring","$1","10/21/2021","France","Paris","Healthcare & Life Sciences","Vitruvian Partners, Merieux Equity Partners, Straumann"
"CargoX","https://www.cbinsights.com/company/cargox","$1","10/21/2021","Brazil","Sao Paulo","Industrials","Valor Capital Group, Lightrock, Softbank Group"
"Fabric","https://www.cbinsights.com/company/fabric-3","$1","10/26/2021","United States","New York","Consumer & Retail","Innovation Endeavors, Aleph, Temasek"
"Augury","https://www.cbinsights.com/company/augury-systems","$1","10/26/2021","United States","New York","Industrials","Lerer Hippeau, Munich Re Ventures, Eclipse Ventures"
"Moka","https://www.cbinsights.com/company/moka-1","$1","11/2/2021","China","Beijing","Enterprise Tech","GGV Capital, GSR Ventures, FreesFund"
"Tezign","https://www.cbinsights.com/company/tezign","$1","11/2/2021","China","Shanghai","Enterprise Tech","Sequoia Capital China, Linear Venture, Hearst Ventures"
"Vagaro","https://www.cbinsights.com/company/vagaro","$1","11/3/2021","United States","Dublin","Consumer & Retail","FTV Capital"
"IGAWorks","https://www.cbinsights.com/company/igaworks","$1","11/8/2021","South Korea","Seoul","Enterprise Tech","Korea Investment Private Equity, Atinum Investment, Korea Investment Partners"
"Contrast Security","https://www.cbinsights.com/company/contrast-security","$1","11/9/2021","United States","Los Altos","Enterprise Tech","Acero Capital, General Catalyst, M12"
"Wrapbook","https://www.cbinsights.com/company/wrapbook","$1","11/10/2021","United States","New York","Media & Entertainment","Equal Ventures, Uncork Capital, Andreessen Horowitz"
"Gaussian Robotics","https://www.cbinsights.com/company/gaussian-robotics","$1.10","11/10/2021","China","Shanghai","Industrials","BlueRun Ventures, Grand Flight Investment, Meituan Dianping"
