"Company","URL","Valuation ($B)","Date Joined","Country","City","Industry","Selected Investors"
"Circle","https://www.cbinsights.com/company/circle-internet-financial","$3","5/15/2018","United States","Boston","Financial Services","General Catalyst, Digital Currency Group, Accel"
"Zuoyebang","https://www.cbinsights.com/company/zuoyebang","$3","7/18/2018","China","Beijing","Consumer & Retail","Sequoia Capital China, Xiang He Capital, GGV Capital"
"FlixMobility","https://www.cbinsights.com/company/fixbus","$3","7/18/2019","Germany","Munich","Industrials","Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
"Wildlife Studios","https://www.cbinsights.com/company/wildlife-studios","$3","12/5/2019","Brazil","Sao Paulo","Media & Entertainment","Benchmark, Bessemer Venture Partners"
"ApplyBoard","https://www.cbinsights.com/company/applyboard","$3.20","5/5/2020","Canada","Kitchener","Consumer & Retail","Artiman Ventures, Plug and Play Ventures, Anthos Capital"
"Forter","https://www.cbinsights.com/company/forter","$3","11/19/2020","United States","New York","Enterprise Tech","Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
"Calendly","https://www.cbinsights.com/company/calendly","$3","1/26/2021","United States","Atlanta","Enterprise Tech","ICONIQ Capital, OpenView Venture Partners"
"BlockFi","https://www.cbinsights.com/company/blockfi","$3","3/11/2021","United States","Jersey City","Financial Services","ConsenSys Ventures, Valar Ventures, PUC"
"ActiveCampaign","https://www.cbinsights.com/company/activecampaign","$3","4/21/2021","United States","Chicago","Enterprise Tech","Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
"CMR Surgical","https://www.cbinsights.com/company/cambridge-medical-robotics","$3","9/17/2019","United Kingdom","Cambridge","Healthcare & Life Sciences","Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
"Lucid Software","https://www.cbinsights.com/company/lucid-software","$3","6/29/2021","United States","South Jordan","Enterprise Tech","Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
"Age of Learning","https://www.cbinsights.com/company/age-of-learning","$3","5/3/2016","United States","Glendale","Consumer & Retail","Iconiq Capital"
"Carbon Health","https://www.cbinsights.com/company/carbon-health","$3","7/21/2021","United States","San Francisco","Healthcare & Life Sciences","Brookfield Asset Management, Blackstone, Data Collective"
"Contentful","https://www.cbinsights.com/company/contentful","$3","7/28/2021","Germany","Berlin","Enterprise Tech","Balderton Capital, General Catalyst, Tiger Global Management"
"LaunchDarkly","https://www.cbinsights.com/company/launchdarkly","$3","8/10/2021","United States","Oakland","Enterprise Tech","Uncork Capital, Threshold Ventures, Bloomberg Beta"
"Seismic","https://www.cbinsights.com/company/seismic-software","$3","12/18/2018","United States","San Diego","Enterprise Tech","Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
"Sky Mavis","https://www.cbinsights.com/company/axie-infinity","$3","10/4/2021","Vietnam","Ho Chi Minh City","Media & Entertainment","Fabric Ventures, 500 Global, Standard Crypto"
"Outschool","https://www.cbinsights.com/company/outschool","$3","4/14/2021","United States","San Francisco","Consumer & Retail","Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
"TradingView","https://www.cbinsights.com/company/tradingview","$3","10/14/2021","United States","Westerville","Financial Services","Tiger Global Management, Insight Partners, Jump Capital"
"Groww","https://www.cbinsights.com/company/groww","$3","4/7/2021","India","Bengaluru","Financial Services","Tiger Global Management, Sequoia Capital India, Ribbit Capital"
"Podium","https://www.cbinsights.com/company/repdrive","$3","4/7/2020","United States","Lehi","Consumer & Retail","Accel, Summit Partners, Google Ventures"
"Via","https://www.cbinsights.com/company/via-transportation","$3.50","3/30/2020","United States","New York","Industrials","83North, RiverPark Ventures, Pitango Venture Capital"
"Anchorage Digital","https://www.cbinsights.com/company/anchorage","$3","12/15/2021","United States","San Francisco","Financial Services","Andreessen Horowitz, Blockchain Capital, Lux Capital"
"Inxeption","https://www.cbinsights.com/company/inxeption","$3","1/13/2022","United States","San Francisco","Industrials","Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
"Lattice","https://www.cbinsights.com/company/lattice","$3","3/23/2021","United States","San Francisco","Enterprise Tech","Khosla Ventures, Thrive Capital, Y Combinator"
"Flutterwave","https://www.cbinsights.com/company/flutterwave","$3","3/9/2021","United States","San Francisco","Financial Services","Green Visor Capital, CRE Venture Capital, Greycroft"
"Amber Group","https://www.cbinsights.com/company/amber-group","$3","6/21/2021","Singapore","","Financial Services","Tiger Global Management, Tiger Brokers, DCM Ventures"
"Cross River Bank","https://www.cbinsights.com/company/cross-river-bank","$3","2/11/2022","United States","Fort Lee","Financial Services","Battery Ventures, Andreessen Horowitz, Ribbit Capital"
"Remote","https://www.cbinsights.com/company/remote","$3","7/13/2021","United States","San Francisco","Enterprise Tech","Index Ventures, Sequoia Capital, General Catalyst"
"Sentry","https://www.cbinsights.com/company/sentry","$3","2/18/2021","United States","San Francisco","Enterprise Tech","New Enterprise Associates, Accel, Bond"
"Kraken","https://www.cbinsights.com/company/payward","$2.92","6/25/2019","United States","San Francisco","Financial Services","Bnk To The Future, Trammell Ventures, SBI Investment"
"Workrise","https://www.cbinsights.com/company/rigup","$2.90","9/30/2019","United States","Austin","Industrials","Founders Fund, Quantum Energy Partners, Bedrock Capital"
"BharatPe","https://www.cbinsights.com/company/bharatpe","$2.85","7/30/2021","India","New Delhi","Financial Services","Insight Partners, Sequoia Capital India, BEENEXT"
"Gokin Solar","https://www.cbinsights.com/company/gokinsolar","$2.88","4/13/2022","China","Zhuhai","Industrials","IDG Capital, Puluo Capital, Midea Capital"
"DriveWealth","https://www.cbinsights.com/company/mysolomeo-holdings","$2.85","8/20/2021","United States","Chatham","Financial Services","Point72 Ventures, Route 66 Ventures, Accel"
"Alan","https://www.cbinsights.com/company/alan","$2.85","4/19/2021","France","Paris","Healthcare & Life Sciences","Index Ventures, Temasek, Portag3 Ventures"
"Meicai","https://www.cbinsights.com/company/meicai","$2.80","6/22/2016","China","Beijing","Consumer & Retail","Tiger Global Management, Blue Lake Capital, ZhenFund"
"Nutrabolt","https://www.cbinsights.com/company/nutrabolt","$2.79","12/8/2022","United States","Austin","Consumer & Retail","MidOcean Partners"
"Graphcore","https://www.cbinsights.com/company/graphcore","$2.77","12/18/2018","United Kingdom","Bristol","Enterprise Tech","Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
"Illumio","https://www.cbinsights.com/company/illumio","$2.75","4/14/2015","United States","Sunnyvale","Enterprise Tech","Data Collective, Formation 8, General Catalyst Partners"
"MasterClass","https://www.cbinsights.com/company/yanka-industries","$2.75","5/13/2021","United States","San Francisco","Media & Entertainment","Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
"Dream Games","https://www.cbinsights.com/company/dream-games","$2.75","6/30/2021","Turkey","Istanbul","Media & Entertainment","Makers Fund, Index Ventures, Inova Ventures Participacees"
"Transmit Security","https://www.cbinsights.com/company/transmit-security","$2.74","6/22/2021","Israel","Tel Aviv","Enterprise Tech","General Atlantic, Insight Partners, Vintage Investment Partners"
"Hozon Auto","https://www.cbinsights.com/company/hozon-technology","$3.95","2/22/2022","China","Shanghai","Industrials","HD Capital, Qihoo 360 Technology, China Fortune Land Development"
"Tradeshift","https://www.cbinsights.com/company/tradeshift","$2.70","5/30/2018","United States","San Francisco","Enterprise Tech","Notion Capital, Scentan Ventures, Kite Ventures"
"Nextiva","https://www.cbinsights.com/company/nextiva","$2.70","9/14/2021","United States","Scottsdale","Enterprise Tech","Goldman Sachs Asset Management"
"Tridge","https://www.cbinsights.com/company/tridge","$2.70","8/24/2022","South Korea","Seoul","Industrials","Forest Partners, Softbank Ventures Asia"
"Thought Machine","https://www.cbinsights.com/company/thought-machine","$2.70","11/29/2021","United Kingdom","London","Financial Services","British Patient Capital, SEB Venture Capital, IQ Capital"
"Starling Bank","https://www.cbinsights.com/company/starling-bank","$2.69","3/8/2021","United Kingdom","London","Financial Services","JTC Group, Qatar Investment Authority, Fidelity Investment"
"Figure","https://www.cbinsights.com/company/figure","$2.68","2/23/2024","United States","Sunnyvale","Industrials","Intel Capital, Parkway VC, Amazon Industrial Innovation Fund"
"BackBase","https://www.cbinsights.com/company/backbase","$2.66","6/9/2022","Netherlands","Amsterdam","Financial Services","Motive Partners"
"ManoMano","https://www.cbinsights.com/company/manomano","$2.60","7/5/2021","France","Paris","Consumer & Retail","General Atlantic, Piton Capital, Partech Partners"
"Sourcegraph","https://www.cbinsights.com/company/sourcegraph","$2.62","7/13/2021","United States","San Francisco","Enterprise Tech","Redpoint Ventures, Goldcrest Capital, Insight Partners"
"Pendo","https://www.cbinsights.com/company/pendoio","$2.60","10/17/2019","United States","Raleigh","Enterprise Tech","Contour Venture Partners, Battery Ventures, Core Capital Partners"
"Plume","https://www.cbinsights.com/company/accelera-mobile-broadband","$2.60","2/23/2021","United States","Palo Alto","Industrials","Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
"Moglix","https://www.cbinsights.com/company/moglix","$2.60","5/17/2021","Singapore","","Industrials","Jungle Ventures, Accel, Venture Highway"
"Axonius","https://www.cbinsights.com/company/axonius","$2.60","3/1/2021","United States","New York","Enterprise Tech","Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
"Xinchao Media","https://www.cbinsights.com/company/xinchao-media","$2","4/9/2018","China","Chengdu","Media & Entertainment","JD.com, Baidu, Vision Plus Capital"
"JumpCloud","https://www.cbinsights.com/company/jumpcloud","$2.62","9/13/2021","United States","Louisville","Enterprise Tech","Foundry Group, General Atlantic, BlackRock"
"Unico","https://www.cbinsights.com/company/acesso-digital","$2.60","8/3/2021","Brazil","Sao Paulo","Enterprise Tech","Big Bets, General Atlantic, SOFTBANK Latin America Ventures"
"Bending Spoons","https://www.cbinsights.com/company/bending-spoons-1","$2.55","2/15/2024","Italy","Milan","Consumer & Retail","Durable Capital Partners, Adjacent, Creator Partners"
"Oura","https://www.cbinsights.com/company/oura","$2.55","4/5/2022","Finland","Oulu","Healthcare & Life Sciences","Forerunner Ventures, Lifeline Ventures, MSD Capital"
"JUST Egg","https://www.cbinsights.com/company/hampton-creek-foods","$2.59","11/30/2017","United States","San Francisco","Consumer & Retail","Khosla Ventures, Horizons Ventures, Founders Fund"
"Cribl","https://www.cbinsights.com/company/cribl","$2.50","8/25/2021","United States","San Francisco","Enterprise Tech","Institutional Venture Partners, CRV, Sequoia Capital"
"Jetti Resources","https://www.cbinsights.com/company/jetti-resources","$2.50","10/24/2022","United States","Boulder","Industrials","BMW i Ventures, BHP Ventures"
"ChaBaiDao","https://www.cbinsights.com/company/chabaidao","$2.52","6/9/2023","China","Chengdu","Consumer & Retail","Tomato Capital"
"Claroty","https://www.cbinsights.com/company/claroty","$2.5","6/17/2021","United States","New York","Enterprise Tech","Bessemer Venture Partners, MoreVC, Team8"
"AlphaSense","https://www.cbinsights.com/company/alphasense-1","$2.5","6/15/2022","United States","New York","Enterprise Tech","Viking Global Investors, GS Growth, BlackRock"
"Moonshot AI","https://www.cbinsights.com/company/tsuki-no-anmen","$2.5","2/19/2024","China","Beijing","Consumer & Retail","HongShan, Jinfu Investment, ZhenFund"
"Vista Global","https://www.cbinsights.com/company/vista-global","$2.50","8/23/2017","United Arab Emirates","Dubai","Industrials","Rhone Capital"
"BYTON","https://www.cbinsights.com/company/future-mobility","$2.50","4/20/2018","China","Nanjing","Industrials","FAW Group, Tencent Holdings, Tus Holdings"
"Side","https://www.cbinsights.com/company/side","$2.50","3/22/2021","United States","San Francisco","Financial Services","Coatue Managemeny, Trinity Ventures, Matrix Partners"
"Spring Health","https://www.cbinsights.com/company/spring-health","$2.50","9/16/2021","United States","New York","Healthcare & Life Sciences","Rethink Impact, Work-Bench, RRE Ventures"
"Infra.Market","https://www.cbinsights.com/company/inframarket","$2.50","2/25/2021","India","Thane","Industrials","Accel, Tiger Global Management, Nexus Venture Partners"
"Varo Bank","https://www.cbinsights.com/company/varo-money","$2.50","9/9/2021","United States","San Francisco","Financial Services","Warburg Pincus, The Rise Fund, HarbourVest Partners"
"Cato Networks","https://www.cbinsights.com/company/cato-networks","$3","11/17/2020","Israel","Tel Aviv","Enterprise Tech","Aspect Ventures, SingTel Innov8, Greylock Partners"
"Aura","https://www.cbinsights.com/company/isubscribed","$2.50","6/9/2021","United States","Burlington","Consumer & Retail","Warburg Pincus, General Catalyst"
"Sysdig","https://www.cbinsights.com/company/draios","$2.50","4/28/2021","United States","San Francisco","Enterprise Tech","Accel, Bain Capital Ventures, Insight Partners"
"Zetwerk","https://www.cbinsights.com/company/zetwerk","$2.8","8/20/2021","India","Bengaluru","Industrials","Sequoia Capital India, Kae Capital, Accel"
"Uniphore","https://www.cbinsights.com/company/uniphore-software-systems","$2.50","2/16/2022","United States","Palo Alto","Enterprise Tech","Chiratae Ventures, March Capital Partners, National Grid Partners"
"Somatus","https://www.cbinsights.com/company/somatus","$2.50","2/23/2022","United States","McLean","Healthcare & Life Sciences","The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
"Immutable","https://www.cbinsights.com/company/fuel-bros","$2.50","3/7/2022","Australia","Sydney","Media & Entertainment","Fabric Ventures, AirTree Ventures, Temasek"
"A24 Films","https://www.cbinsights.com/company/a24-films","$2.50","3/9/2022","United States","New York","Media & Entertainment","Stripes Group, Neuberger Berman"
"SiFive","https://www.cbinsights.com/company/sifive","$2.50","3/16/2022","United States","San Mateo","Enterprise Tech","Sutter Hill Ventures, Osage University Partners, Spark Capital"
"Games24x7","https://www.cbinsights.com/company/games24x7","$2.50","3/30/2022","India","Mumbai","Media & Entertainment","Tiger Global Management, The Raine Group, Malabar Investments"
"Fetch","https://www.cbinsights.com/company/fetch-rewards-llc","$2.50","3/31/2021","United States","Madison","Consumer & Retail","Greycroft, Loeb.NYC, DST Global"
"Coda Payments","https://www.cbinsights.com/company/coda-payments","$2.50","4/15/2022","Singapore","","Financial Services","GIC. Apis Partners, Insight Partners"
"DriveNets","https://www.cbinsights.com/company/drivenets","$2.50","1/27/2021","Israel","Ra'anana","Enterprise Tech","Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners"
"Hibob","https://www.cbinsights.com/company/hibob","$2.45","10/12/2021","Israel","Tel Aviv","Enterprise Tech","Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
"Uala","https://www.cbinsights.com/company/uala","$2.45","8/13/2021","Argentina","Buenos Aires","Financial Services","Soros Fund Management, Ribbit Capital, Monashees+"
"Mobile Premier League","https://www.cbinsights.com/company/mobile-premier-league","$2.45","9/15/2021","India","Bengaluru","Media & Entertainment","Sequoia Capital India, RTP Global, Go-Ventures"
"insitro","https://www.cbinsights.com/company/insitro","$2.44","3/15/2021","United States","South San Francisco","Healthcare & Life Sciences","Foresite Capital, ARCH Venture Partners, Third Rock Ventures"
"Cgtz","https://www.cbinsights.com/company/cgtz","$2.41","2/21/2017","China","Hangzhou","Financial Services","Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
"Star Charge","https://www.cbinsights.com/company/star-charge","$2.41","5/19/2021","China","Changzhou","Industrials","Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
"Carbon","https://www.cbinsights.com/company/carbon3d","$2.40","8/20/2015","United States","Redwood City","Industrials","Google Ventures, Sequoia Capital, Wakefield Group"
"Rokt","https://www.cbinsights.com/company/rokt","$2.40","12/16/2021","United States","New York","Consumer & Retail","Square Peg Capital, TDM Growth Partners, Tiger Global Management"
"Paxos","https://www.cbinsights.com/company/itbit","$2.40","4/29/2021","United States","New York","Financial Services","Liberty City Ventures, RRE Ventures, Mithril Capital Management"
"Exabeam","https://www.cbinsights.com/company/exabeam","$2.40","6/1/2021","United States","Foster City","Enterprise Tech","Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
"BitSight Technologies","https://www.cbinsights.com/company/bitsight-technologies","$2.40","9/13/2021","United States","Boston","Enterprise Tech","Menlo Ventures, GGV Capital, Flybridge Capital Partners"
"Trumid","https://www.cbinsights.com/company/trumid-holdings","$2.40","7/15/2020","United States","New York","Financial Services","T. Rowe Price, Dragoneer Investment Group, BlackRock"
"ABL Space Systems","https://www.cbinsights.com/company/abl-space-systems","$2.40","3/25/2021","United States","El Segundo","Industrials","T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
"HoneyBook","https://www.cbinsights.com/company/honeybook","$2.40","5/4/2021","United States","San Francisco","Enterprise Tech","Norwest Venture Partners, Hillsven Capital, Aleph"
"Beta Technologies","https://www.cbinsights.com/company/beta-technologies","$2.40","4/19/2022","United States","South Burlington","Industrials","The Rise Fund, Fidelity Investments. RedBird Capital Partners"
"Project44","https://www.cbinsights.com/company/project44","$2.62","6/1/2021","United States","Chicago","Enterprise Tech","Emergence Capital Partners, 8VC, Chicago Ventures"
"Freenome","https://www.cbinsights.com/company/freenome","$2.62","8/26/2020","United States","South San Francisco","Healthcare & Life Sciences","Andreessen Horowitz, Data Collective, Roche Venture Fund"
"ManyPets","https://www.cbinsights.com/company/bought-by-many","$2.35","6/1/2021","United Kingdom","London","Insurance","Octopus Ventures, Munich Re Ventures, CommerzVentures"
"Jobandtalent","https://www.cbinsights.com/company/jobandtalent","$2.35","12/1/2021","Spain","Madrid","Enterprise Tech","Kibo Ventures, SoftBank Group, Atomico"
"WEMAKEPRICE","https://www.cbinsights.com/company/wemakeprice-inc","$2.34","9/9/2015","South Korea","Seoul","Consumer & Retail","IMM Investment, NXC"
"Biren Technology","https://www.cbinsights.com/company/biren-techonology","$2.32","8/18/2020","China","Shanghai","Enterprise Tech","V FUND, IDG Capital, Green Pine Capital Partners"
"Glean","https://www.cbinsights.com/company/glean-2","$2.2","5/18/2022","United States","Palo Alto","Enterprise Tech","General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners"
"Transcarent","https://www.cbinsights.com/company/transcarent","$2.2","1/11/2022","United States","San Francisco","Healthcare & Life Sciences","Alta Partners, General Catalyst, Jove Equity Partners"
"Voodoo","https://www.cbinsights.com/company/voodoo","$2.31","8/17/2020","France","Paris","Media & Entertainment","Tencent Holdings, Goldman Sachs"
"Shield AI","https://www.cbinsights.com/company/shield-ai","$2.80","8/24/2021","United States","San Diego","Industrials","Andreessen Horowitz, Homebrew, Point72 Ventures"
"Uptake","https://www.cbinsights.com/company/uptake-technologies","$2.30","10/27/2015","United States","Chicago","Industrials","Revolution, New Enterprise Associates, Caterpillar"
"Motive","https://www.cbinsights.com/company/keeptruckin","$2.85","4/23/2019","United States","San Francisco","Industrials","Google Ventures, Index Ventures, Scale Venture Partners"
"Greenlight","https://www.cbinsights.com/company/greenlight1","$2.30","9/24/2020","United States","Atlanta","Financial Services","Relay Ventures, TTV Capital, Canapi Ventures"
"MoMo","https://www.cbinsights.com/company/mservice","$2.27","12/10/2021","Vietnam","Ho Chi Minh City","Financial Services","Goodwater Capital, Warburg Pincus, GS Growth"
"Algolia","https://www.cbinsights.com/company/algolia","$2.25","7/28/2021","United States","San Francisco","Enterprise Tech","Accel, Alven Capital, Storm Ventures"
"Pattern","https://www.cbinsights.com/company/pattern-1","$2.25","10/6/2021","United States","Lehi","Consumer & Retail","Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
"Newfront Insurance","https://www.cbinsights.com/company/abe","$2.20","4/12/2022","United States","San Francisco","Insurance","Founders Fund, Meritech Capital Partners, GS Growth"
"NuCom Group","https://www.cbinsights.com/company/nucom-grou","$2.20","2/22/2018","Germany","Unterfoehring","Consumer & Retail","General Atlantic"
"Skydio","https://www.cbinsights.com/company/skydio","$2.20","2/25/2021","United States","Redwood City","Industrials","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel"
"MUSINSA","https://www.cbinsights.com/company/musinsa","$2.76","11/11/2019","South Korea","Seoul","Consumer & Retail","Sequoia Capital"
"Current","https://www.cbinsights.com/company/current","$2.20","4/27/2021","United States","New York","Financial Services","Expa, QED Investors, Foundation Capital"
"Bitso","https://www.cbinsights.com/company/bitso","$2.20","5/5/2021","Mexico","Mexico City","Financial Services","Pantera Capital, QED Investors, Coinbase Ventures"
"Gympass","https://www.cbinsights.com/company/gympass","$2.40","6/12/2019","United States","New York","Healthcare & Life Sciences","General Atlantic, SoftBank Group, Atomico"
"Dialpad","https://www.cbinsights.com/company/firespotter-labs","$2.20","10/6/2020","United States","San Francisco","Enterprise Tech","Andreessen Horowitz, Google Ventures, Section 32"
"G7 Networks","https://www.cbinsights.com/company/g7","$2.20","2/15/2022","China","Beijing","Industrials","Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
"BloomReach","https://www.cbinsights.com/company/bloomreach","$2.20","2/23/2022","United States","Mountain View","Consumer & Retail","Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
"Motif FoodWorks","https://www.cbinsights.com/company/motif-ingredients","$2.20","6/16/2021","United States","Boston","Industrials","General Atlantic, Breakthrough Energy Ventures, Viking Global Investors"
"Accelerant","https://www.cbinsights.com/company/accelerant","$2.4","1/12/2022","United Kingdom","Colchester","Insurance","Deer Park Road, Altamont Capital Partners, Eldridge"
"YITU Technology","https://www.cbinsights.com/company/yitu-technology","$2.17","3/8/2018","China","Shanghai","Enterprise Tech","Sequoia Capital China, Banyan Capital"
"Addepar","https://www.cbinsights.com/company/addepar","$2.17","6/15/2021","United States","Mountain View","Financial Services","8VC, D1 Capital Partners, Sway Ventures"
"Qualia","https://www.cbinsights.com/company/qualia-labs","$2.17","12/21/2020","United States","San Francisco","Financial Services","8VC, Menlo Ventures, Tiger Global Management"
"Neo4j","https://www.cbinsights.com/company/neo-technology","$2","6/17/2021","United States","San Mateo","Enterprise Tech","Eight Roads Ventures, One Peak Partners, Creandum"
"CloudWalk","https://www.cbinsights.com/company/cloudwalk","$2.15","9/8/2021","Brazil","Sao Paulo","Financial Services","Plug and Play Ventures, Valor Capital Group, DST Global"
"CoinDCX","https://www.cbinsights.com/company/coindcx","$2.15","8/10/2021","India","Maharashtra","Financial Services","Polychain Capital, Coinbase Ventures, Jump Capital"
"Eightfold","https://www.cbinsights.com/company/eightfoldai","$2.10","10/27/2020","United States","Santa Clara","Enterprise Tech","Foundation Capital, Institutional Venture Partners, General Catalyst"
"Urban Company","https://www.cbinsights.com/company/urbanclap-technologies","$2.10","4/27/2021","India","Gurgaon","Consumer & Retail","VY Capital, Accel, Elevation Capital"
"Moveworks","https://www.cbinsights.com/company/moveworks","$2.10","6/30/2021","United States","Mountain View","Enterprise Tech","Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
"Medable","https://www.cbinsights.com/company/medable","$2.10","10/26/2021","United States","Palo Alto","Healthcare & Life Sciences","GSR Ventures, Sapphire Ventures, Streamlined Ventures"
"GoCardless","https://www.cbinsights.com/company/gocardless","$2.10","2/8/2022","United Kingdom","London","Financial Services","Accel, Passion Capital, Balderton Capital"
"Aledade","https://www.cbinsights.com/company/aledade","$3.5","1/19/2021","United States","Bethesda","Healthcare & Life Sciences","Venrock, CVF Capital Partners, ARCH Venture Partners"
"FirstCry","https://www.cbinsights.com/company/brainbees-solutions","$3.75","2/7/2020","India","Pune","Consumer & Retail","SoftBank Group, SAIF Partners India, Valiant Capital Partners"
"Forto","https://www.cbinsights.com/company/freighthub","$2.10","6/21/2021","Germany","Berlin","Industrials","Cherry Ventures, Northzone Ventures, Global Founders Capital"
"Jeeves","https://www.cbinsights.com/company/jeeves","$2.10","3/14/2022","United States","Orlando","Enterprise Tech","Tencent Holdings, CRV, Clocktower Technology Ventures"
"Viva Wallet","https://www.cbinsights.com/company/viva-wallet","$2.05","12/17/2022","Greece","Athens","Financial Services","Breyer Capital, Hedosophia"
"Mistral AI","https://www.cbinsights.com/company/mistral-ai","$2","12/10/2023","France","Paris","Enterprise Tech","Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz"
"DeepL","https://www.cbinsights.com/company/deepl","$2","1/11/2023","Germany","Cologne","Enterprise Tech","Benchmark, btov Partners, Bessemer Venture Partners"
"Cognition AI","https://www.cbinsights.com/company/cognition-ai","$2","4/24/2024","United States","San Francisco","Enterprise Tech","Founders Fund, 	Khosla Ventures"
"Babel Finance","https://www.cbinsights.com/company/babelbankio","$2","5/25/2022","Hong Kong","Hong Kong","Financial Services","Dragonfly Capital, BAI Capital, 10T Fund"
"Trendy Group International","https://www.cbinsights.com/company/trendy-group-international","$2","2/13/2012","Hong Kong","Kowloon","Consumer & Retail","L Capital Partners"
"GrubMarket","https://www.cbinsights.com/company/grubmarket","$2","9/14/2021","United States","San Francisco","Consumer & Retail","GGV Capital, BlackRock, ACE & Company"
"BeZero","https://www.cbinsights.com/company/bezero-carbon","$2","11/14/2022","United Kingdom","London","Enterprise Tech","Contrarian Ventures, Molten Ventures, Hitachi Ventures 32"
"Cohere","https://www.cbinsights.com/company/cohere-3","$2","5/2/2023","Canada","Toronto","Enterprise Tech","Index Ventures, Salesforce Ventures, Section 32"
"GO1","https://www.cbinsights.com/company/go1","$2","7/19/2021","Australia","Brisbane","Enterprise Tech","Y Combinator, M12, SEEK"
"Clear Street","https://www.cbinsights.com/company/clear-street","$2","4/29/2022","United States","New York","Financial Services","NextGen Venture Partners, Prysm Capital, McLaren Strategic Ventures"
"Drata","https://www.cbinsights.com/company/drata","$2","11/8/2021","United States","San Diego","Enterprise Tech","Cowboy Ventures, Leaders Fund, GGV Capital"
"Mysten Labs","https://www.cbinsights.com/company/mysten-labs","$2","9/8/2022","United States","San Francisco","Enterprise Tech","Andreessen Horowitz, Coinbase Ventures, Circle Ventures"
"Avant","https://www.cbinsights.com/company/avant-credit","$2","12/17/2012","United States","Chicago","Financial Services","RRE Ventures, Tiger Global, August Capital"
"Tubatu.com","https://www.cbinsights.com/company/to8to","$2","3/9/2015","China","Shenzhen","Consumer & Retail","Sequoia Capital China, Matrix Partners China, 58.com"
"BlaBlaCar","https://www.cbinsights.com/company/blablacar","$2","9/16/2015","France","Paris","Consumer & Retail","Accel Partners, Index Ventures, Insight Venture Partners"
"HuiMin","https://www.cbinsights.com/company/huimincn","$2","9/5/2016","China","Beijing","Consumer & Retail","Zheshang Venture Capital, GP Capital, Western Capital Management"
"Preferred Networks","https://www.cbinsights.com/company/preferred-networks","$2","5/17/2018","Japan","Tokyo","Industrials","Toyota Motor Corporation, Mizuho Financial Group, FANUC"
"Formlabs","https://www.cbinsights.com/company/formlabs","$2","8/1/2018","United States","Somerville","Industrials","Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
"Calm","https://www.cbinsights.com/company/calmcom","$2","2/6/2019","United States","San Francisco","Healthcare & Life Sciences","Insight Venture Partners, TPG Growth, Sound Ventures"
"Kaseya","https://www.cbinsights.com/company/kaseya","$2","3/27/2019","United States","Miami","Enterprise Tech","Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
"Mafengwo","https://www.cbinsights.com/company/mafengwocn","$2","5/23/2019","China","Beijing","Consumer & Retail","Qiming Venture Partners, Capital Today, General Atlantic"
"Druva","https://www.cbinsights.com/company/druva","$2","6/20/2019","United States","Sunnyvale","Enterprise Tech","Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
"Kujiale","https://www.cbinsights.com/company/kujiale","$2","10/25/2019","China","Hangzhou","Consumer & Retail","GGV Capital, IDG Capital, Linear Venture"
"AppsFlyer","https://www.cbinsights.com/company/appsflyer","$2","1/21/2020","United States","San Francisco","Enterprise Tech","Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
"Redis","https://www.cbinsights.com/company/redisdb","$2","8/25/2020","United States","Mountain View","Enterprise Tech","Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
"Xingyun Group","https://www.cbinsights.com/company/xingyun-b2b","$2","9/24/2020","China","Shenzhen","Consumer & Retail","Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
